city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,year
machesney park,il,formation,30.0,12/12/2011,42.3472222,-89.0388889,2011
isle of palms,sc,light,420.0,3/4/2003,32.7866667,-79.795,2003
eureka,ca,cigar,120.0,3/2/2004,40.8022222,-124.1625,1980
phoenix,az,circle,1800.0,10/30/2006,33.4483333,-112.0733333,2006
concord,ca,triangle,300.0,9/2/2005,37.9780556,-122.03,2005
shakopee,mn,other,120.0,12/3/2004,44.7980556,-93.5266667,2004
pompano beach,fl,triangle,480.0,5/10/2004,26.2375,-80.125,2004
port huron,mi,sphere,600.0,2/1/2007,42.9708333,-82.425,2006
atlanta,ga,circle,900.0,12/2/2000,33.7488889,-84.3880556,2000
lakewood,wa,disk,1800.0,2/8/2005,47.1719444,-122.5172222,2004
malcolm,ne,sphere,900.0,6/23/2010,40.9066667,-96.8625,2006
hillsboro,mo,fireball,360.0,5/8/2014,38.2322222,-90.5627778,2014
morgantown,wv,triangle,5.0,9/30/2013,39.6294444,-79.9561111,2012
toledo,oh,cylinder,1200.0,8/7/2011,41.6638889,-83.5552778,2011
golden,co,other,20.0,1/22/2004,39.7555556,-105.2205556,2004
westerly,ri,triangle,60.0,9/1/2004,41.3775,-71.8277778,2004
hayden lake,id,triangle,30.0,11/21/2010,47.7588889,-116.7558333,2010
baltimore,md,light,3600.0,1/10/2009,39.2902778,-76.6125,2008
raynham,ma,other,120.0,7/5/2005,41.9486111,-71.0736111,2004
miami,fl,circle,600.0,4/13/2010,25.7738889,-80.1938889,2010
seymour,mo,light,60.0,10/14/2013,37.1463889,-92.7686111,2013
wichita,ks,oval,30.0,3/10/2011,37.6922222,-97.3372222,2010
utica,ny,circle,240.0,7/4/2012,43.1008333,-75.2330556,2012
south holland,il,changing,360.0,7/5/2005,41.6008333,-87.6069444,2005
benton,il,cigar,120.0,8/28/2003,37.9966667,-88.92,2003
gainesville,tx,circle,300.0,12/20/2012,33.6258333,-97.1330556,2012
sparks,nv,light,240.0,5/13/2012,39.535,-119.7516667,2012
jensen beach,fl,oval,120.0,11/28/2007,27.2541667,-80.23,2007
wauwatosa,wi,sphere,900.0,2/14/2006,43.0494444,-88.0075,1995
la mesa,ca,circle,1800.0,8/27/2009,32.7677778,-117.0222222,2009
st. charles,mo,fireball,600.0,7/6/2011,38.7838889,-90.4811111,2011
new york city (queens),ny,circle,300.0,2/14/2014,40.7141667,-74.0063889,2014
el cajon,ca,formation,30.0,10/30/2006,32.7947222,-116.9616667,2006
winslow,in,other,3.0,9/6/2002,38.3822222,-87.2127778,1997
el cajon,ca,light,1500.0,8/5/2009,32.7947222,-116.9616667,2009
newark,de,triangle,2400.0,12/12/2009,39.6836111,-75.75,2009
